Ascending,Random,Descending
32.1505931456877,32.0391780692397,32.3045939056421
31.0767731060398,32.7379315701895,31.0767731060398
30.6328207427551,31.1368437665915,30.6328207427551
30.4263353512266,30.6561629419084,30.4263353512266
32.545843267627,32.8305547679668,32.545843267627
30.8455421612939,30.612896828388,30.8455421612939
31.9510413213565,32.0945944814128,31.9510413213565
33.1739455972428,30.6540187508359,30.2909670964554
31.490574436976,31.2952560571796,34.8318871501088
30.0001707662837,35.9401194423231,30.0001707662837
29.5062012380717,29.5062012380717,34.3615715834372
32.7773030128679,30.4107875432924,35.729104694022
32.178673752896,37.3336712369219,32.6478113835025
31.2483446863766,31.1648967478952,31.2483446863766
36.5746050614959,30.6543161485726,31.0255237827852
30.2354624283025,37.3593225862385,36.2315906002737
30.4930455255962,33.6753017807312,30.8761714106586
35.4527428290906,30.9639964759793,31.1040385523677
36.2337660014198,30.1546608051436,30.7418461416565
33.408376052695,31.0299820229837,31.2937343158577
36.1691482922738,37.9921215596493,35.6841263748398
30.6709483597131,35.2310264010534,30.6709483597131
36.4127633420794,30.9533613911837,30.9533613911837
31.4052722272783,31.3053602357422,31.4052722272783
31.1804275597579,38.5566578712251,33.9328262362535
30.5335520283023,35.7348891175381,30.5335520283023
30.5217231086459,30.4537202175085,32.9257860729368
33.8831597905086,35.2009044405352,33.8831597905086
34.3274771849536,36.3479163683527,35.023484587585
33.7649625501497,30.8282809958072,30.9905952522032
35.6613755565454,29.9585813430499,32.3835421644597
31.5569159020264,37.4581529783411,31.5569159020264
30.4664941207182,30.0358608945045,30.6952770000736
36.2398364075086,30.27433221666,30.707716838925
31.5131326480628,37.8697886020712,31.3579352497629
33.8540286622327,30.8233431205659,36.9829969798065
31.4733210842483,31.1007832640291,33.541046113102
30.0600486037462,36.8082654490368,34.7828437990649
30.8800063994815,34.9086528291872,30.8800063994815
36.9387567798737,30.1306798346081,30.8597360687556
30.0652525220441,30.2340285819017,30.0652525220441
31.5554885027779,31.3469410538242,31.5554885027779
34.1146484794795,37.3677159841151,31.6658056233024
33.2618478018664,29.9877266529646,31.2749576477148
30.4689838313366,29.5461941336133,29.9141981740853
31.4655520060996,31.7030460774681,35.0160059488331
31.3252662402016,33.2992413884717,31.3680238479402
34.8771059211855,29.6378380880015,30.0175266870759
33.9506162369012,30.9180294598437,35.8822574294717
30.8588656442651,30.9212620277776,38.6762779048028
30.4004597222416,36.2274141668349,30.2830300452289
31.5893128067719,30.4326409948743,31.5893128067719
30.6056499669143,30.2170572344073,30.6056499669143
32.1286451438895,35.5847795988639,35.7727199170425
34.2149650431142,38.9056429330363,31.5236492553644
33.8225562232991,30.3197974356337,30.8529178271287
30.519881387182,30.5811701310272,30.5811701310272
36.4005461218854,37.3970136710694,32.1736362045926
30.7007836951203,30.7224094050042,30.7007836951203
30.961573712849,30.6104549637429,33.905112507252
30.6163719915842,29.967287830956,30.5943169028068
31.8560345655017,30.6327807058,32.6206553824244
31.5017338502188,36.63380680044,31.5588692983211
31.4597690781696,32.7476591828548,31.4597690781696
31.3382036606608,30.5469929945673,33.221333719066
30.0291812888845,29.4266459658821,30.0291812888845
32.727193373278,31.0496497968719,30.7775965517056
30.9650680190572,35.4884634353162,33.3621310701117
30.6934681414143,32.5812805944101,30.6272115675485
33.9668921412425,39.2966710435305,37.2239522934505
31.7030652890893,35.0127123941442,32.0461141341569
29.5040086763113,28.9961855493944,29.5040086763113
31.3639419771461,34.6036203710823,31.3639419771461
30.4564366983435,30.302472130429,30.4564366983435
30.4580300035896,36.1938323024668,30.4580300035896
31.5699951867182,31.3421229457992,31.5699951867182
33.2176506645451,34.1278352681253,31.2058338244636
31.1455068892789,30.4833349053384,31.1455068892789
30.7038943985978,30.8403794314773,30.7038943985978
31.4461022626988,31.4461022626988,31.4461022626988
31.5510969927897,31.052515435679,31.5510969927897
31.0143655252527,31.0143655252527,31.0143655252527
38.3802211151996,31.4924317662384,31.6272262078854
31.6852791799721,37.2766187457494,31.6852791799721
35.2250632581441,30.0266729486082,30.0266729486082
31.4692584762104,31.1749068367536,30.8924449870677
36.460732065749,30.8436527810225,37.7628516238371
31.0977059797008,31.3110098080442,33.119605340253
32.0463658378114,31.6976015797591,32.3455770222434
37.2661961079417,30.3163719785836,33.3773824919669
30.6175800438955,31.2820808797869,33.3137674685322
30.5129558329382,35.1869593758571,30.1497179309247
30.9540538337679,31.0915833394849,36.6476140235865
35.3930208829936,29.2728285316193,29.9067987305901
29.9856355011831,31.8940858812596,35.8258401478877
30.662652183126,30.4600614153023,34.7046077458078
31.7392328432822,31.3517685568584,31.7392328432822
30.5911623895261,30.7232260854227,32.6895050840277
34.1277190659405,31.5474559314673,31.6395059979657
36.607252402286,30.3543833738013,30.7884095508163
35.8407630500138,29.7266459733536,29.7266459733536
31.9377882684529,31.9661029750851,31.9377882684529
36.8069798448204,36.3103580037326,37.1096668428546
36.3284030731659,38.3382346873043,31.7773711398765
32.020959416798,33.4894349616012,32.8711843563586
32.9675604054084,30.9783477023782,32.9675604054084
31.6690389581676,30.8909633167695,31.3289085150909
36.564748854873,31.1338157370352,37.498853422027
31.7498926443146,31.4665520681074,31.7498926443146
30.3053919583661,34.3657866650006,30.0244005644699
30.846213425447,37.1274495858292,30.3507382217241
32.1816439855534,34.43928097832,37.5630657791248
30.7888818204109,30.2105958908102,31.465821599765
31.8051938779015,31.0385185139672,37.9863023365414
30.6663743474942,30.0045297538081,35.4142300027495
33.1919230148673,30.7986634634445,31.3016776252425
33.7987032286698,37.1838489756456,31.0209964557231
29.993465487186,30.270378682445,35.6895437256763
36.592521420402,30.0826790202849,31.0266947223716
31.6448577318148,33.7955304798017,31.6448577318148
36.3801036062502,35.4051550759936,31.1042318948421
30.7672850985069,34.2101002381958,31.1092177749955
32.4631213729667,29.8298560147875,30.4283687160459
30.030448155949,29.4973808140969,30.030448155949
30.2233589762985,30.4615155082216,34.3469867989137
31.6361309047558,30.8317061825483,31.6361309047558
31.452285368303,35.7439131192463,31.452285368303
30.7606524300461,30.9179929719865,30.7606524300461
29.8989288411102,29.4759365942206,29.8989288411102
30.7125507751259,30.0750972603612,36.5865143336446
31.1141506913854,30.5714877329109,30.7747320192853
30.5564464820418,30.2057478085769,30.5564464820418
30.4034845537836,37.1117449746356,32.1254271788276
31.340140287292,31.2732982252531,31.901005023977
31.5712878504598,31.1490975381126,31.7696390930083
31.2118162205938,30.1885528147014,30.1885528147014
31.175342576062,30.769052458446,35.0750793871695
30.9030471091778,31.2347202652705,30.6293947824547
31.1988988016665,31.0807916039423,31.292960684312
29.6790785346173,29.4407077859163,30.3965638121151
37.5559529952074,30.8850517288698,31.1200995308501
31.2138180205897,35.7426135521759,31.2138180205897
31.7304363979566,31.858308566641,31.888901723261
29.9678683044543,29.6391668329265,32.8563033082164
33.1066744726818,30.6427200054164,30.6427200054164
34.1802385319548,30.510060196882,34.8443284180858
29.9401527651757,30.252516534689,30.2587699828047
29.8924147509665,29.4138552888744,29.8924147509665
30.873708650577,29.8481682142861,32.9891123485163
31.204466462459,31.0525662272213,31.204466462459
31.2893885897338,36.862847403621,30.6139742653437
32.7231264326107,30.4388453937167,30.0093418363201
31.3413618393222,36.7043742980648,35.3121105829346
30.5532063638174,30.4237084267104,33.2964470848416
31.6403896916985,31.0277798124609,31.6403896916985
30.838481880048,32.4151352586837,36.2743474176116
37.0459866084471,30.945554027484,36.2128008046433
31.1126241798383,31.4356384313436,31.1126241798383
32.0760945062622,31.593833160855,31.7123949929909
31.479016891961,31.1751148208645,31.479016891961
31.6976001290711,31.7098105080671,31.6976001290711
30.0027001414583,32.5616545665479,30.0027001414583
33.3752962539718,37.0648938135378,36.4562702047365
33.5955982015038,34.3852356997661,31.1939426205304
30.9861823638485,30.402391896326,30.9861823638485
35.4918739034023,38.5329765066196,35.4918739034023
30.65576508186,31.7206024674509,30.4307826414875
30.8686115878943,39.0888812474087,30.4940269942446
30.5805539896301,29.4657801015123,33.7360049085195
35.6968879235085,29.7449296302456,30.63968571832
31.123449926055,32.8547498605125,31.123449926055
31.0948274188159,32.9376503160601,33.5728863583002
31.6307950916659,31.8113491066641,34.5017363496455
32.6192936363778,31.875953007347,32.6192936363778
32.940780284248,30.898846770575,31.011005299705
32.0371178675522,36.2239961311468,32.1109029868308
31.7458220920403,30.6611200895251,31.3811815189867
30.9636137765961,39.2653694941965,30.8949130954444
31.8940691517877,37.0218540953598,31.2723140256049
30.9362841176999,31.096086555453,35.5227070299408
31.7120683232776,31.1481713898499,33.5675316895056
30.0730494678772,37.9003775713564,30.0730494678772
30.6030428943581,30.8112936002414,36.0396472406429
32.181828995189,39.0976296741961,32.181828995189
30.9666673114897,36.2195357557309,32.9550543261112
36.1451735060016,31.3016019854288,36.0671633526085
31.311139205606,31.0656996344536,31.311139205606
32.4606819364278,32.2548313617103,32.6492155615642
31.215585045706,30.6504258881822,31.215585045706
31.2225410171688,37.5718234263246,36.7786535448854
30.3835667037616,29.8645519187584,31.6620404103674
31.1752626568921,31.0941480922009,30.7424447379212
31.8138639101524,34.006409239648,31.8138639101524
31.2117403072038,30.7289379961108,32.7121698341225
34.8091510839414,38.1515657010259,31.0658298704285
31.2162906656109,37.6750217587865,31.2162906656109
31.8085862990377,35.966898592514,30.5302206371505
35.4249868839267,29.9907525999006,33.2255297515026
30.3393373562414,29.6662827879797,30.3393373562414
31.5063729900254,36.8840637076048,31.5063729900254
32.1288847053102,32.4930388910669,32.2270478906104
1.99048835346916,2.79128821271409,2.06154942546214
